id,fuel,debut
92300013,SP98,2026-04-27
92310001,SP98,2016-07-20
92310002,E10,2024-08-27
92320002,SP98,2016-07-20
92320004,SP95,2011-09-07
92320005,E10,2026-04-30
92320005,Gazole,2026-04-30
92320005,SP95,2026-04-30
92320005,SP98,2026-04-30
92330001,E10,2009-04-17
92330001,SP95,2009-04-17
92330002,E85,2025-12-23
92330002,GPLc,2025-12-23
92330002,SP95,2025-10-08
92340001,E85,2009-09-21
92340001,GPLc,2009-09-21
92340001,SP95,2012-11-29
92340002,E85,2023-10-24
92340002,GPLc,2023-10-24
92340002,SP95,2023-10-24
92350001,SP95,2011-05-04
92360002,SP98,2017-05-29
92360004,E10,2009-04-17
92360004,SP95,2009-04-17
92370001,E85,2011-11-17
92370001,GPLc,2011-12-14
92370001,SP95,2011-10-12
92370002,E10,2024-03-11
92370002,E85,2022-09-21
92370002,GPLc,2022-09-21
92370002,SP95,2022-09-21
92370002,SP98,2024-03-06
92380003,SP95,2009-04-23
92380004,SP95,2011-01-23
92380004,SP98,2013-07-09
92380005,SP98,2016-07-20
92380006,SP98,2017-02-01
92400001,E85,2009-04-14
92400001,GPLc,2009-04-14
92400001,SP95,2010-10-27
92400002,E85,2009-09-02
92400003,SP95,2011-12-23
92400006,E85,2009-12-11
92400006,GPLc,2009-12-11
92400006,SP95,2010-11-14
92400007,E85,2012-08-16
92400007,GPLc,2012-08-16
92400007,SP95,2014-06-02
92400010,GPLc,2009-06-26
92400010,SP95,2009-04-03
92400014,SP98,2016-07-20
92400015,E10,2021-04-06
92400015,E85,2021-04-06
92400015,GPLc,2015-02-17
92400015,Gazole,2021-04-06
92400015,SP95,2015-02-17
92400015,SP98,2021-04-06
92400016,GPLc,2019-01-07
92400016,SP95,2023-06-28
92400017,SP95,2021-10-21
92400017,SP98,2026-09-18
92400018,E85,2017-10-24
92400018,GPLc,2017-10-24
92400018,SP95,2017-10-24
92400019,E10,2023-02-22
92400019,E85,2022-09-26
92400019,GPLc,2022-09-26
92400019,Gazole,2023-03-13
92400019,SP95,2022-12-20
92400019,SP98,2023-03-13
92400020,E85,2022-11-13
92400020,GPLc,2022-11-13
92400020,SP95,2022-11-13
92400020,SP98,2026-09-18
92400021,E10,2017-05-30
92400021,E85,2017-09-19
92400021,GPLc,2017-09-19
92400021,Gazole,2017-05-29
92400021,SP95,2017-09-19
92400021,SP98,2017-03-21
92410001,SP95,2009-11-04
92420001,SP95,2011-01-23
92420001,SP98,2016-07-20
92420002,E85,2023-11-07
92420002,GPLc,2023-11-07
92420003,E10,2026-04-30
92420003,E85,2026-04-30
92420003,GPLc,2026-04-30
92420003,Gazole,2026-04-30
92420003,SP95,2026-04-30
92420003,SP98,2026-04-30
92500001,SP95,2009-11-11
92500002,E85,2013-09-30
92500004,GPLc,2013-02-18
92500004,SP95,2019-01-07
92500005,GPLc,2008-07-01
92500008,SP98,2016-07-20
92500012,E85,2021-12-29
92500012,GPLc,2021-12-29
92500012,SP95,2025-07-01
92500012,SP98,2026-09-17
92500013,E85,2026-05-04
92500013,GPLc,2026-05-04
92500013,SP95,2026-05-04
92500013,SP98,2026-09-18
92500016,GPLc,2022-03-21
92500016,SP95,2022-05-06
92500017,GPLc,2022-05-13
92500017,SP95,2022-05-13
92600003,E85,2013-07-07
92600003,GPLc,2013-07-07
92600003,SP95,2013-07-07
92600004,SP95,2009-12-03
92600005,SP98,2013-07-09
92600009,E85,2024-12-18
92600009,GPLc,2024-12-18
92600009,SP95,2024-12-18
92700002,SP98,2016-07-20
92700005,E85,2010-09-05
92700005,SP95,2014-07-03
92700014,SP98,2016-07-20
92700015,E10,2017-09-20
92700015,E85,2017-09-20
92700015,GPLc,2017-09-20
92700018,SP98,2016-07-20
92700019,E10,2022-12-21
92700019,E85,2022-12-21
92700019,GPLc,2022-12-21
92700019,Gazole,2022-12-21
92700019,SP95,2022-12-21
92700019,SP98,2022-12-21
92700020,E85,2018-07-07
92700020,SP95,2018-07-07
92700021,SP98,2016-11-03
92700022,SP98,2017-12-05
92700024,E85,2024-11-27
92700024,SP95,2024-11-27
92800001,SP98,2013-07-09
92800007,SP98,2026-04-24
93000001,GPLc,2026-04-29
93000001,Gazole,2026-04-30
93000001,SP98,2026-04-30
93000003,E10,2010-04-30
93000003,E85,2010-04-30
93000003,GPLc,2010-04-30
93000007,E85,2017-09-25
93000007,GPLc,2017-09-25
93000007,SP95,2017-09-25
93000008,E85,2011-08-16
93000008,GPLc,2011-08-16
93000008,SP95,2013-05-16
93000008,SP98,2013-10-17
93000009,E85,2012-05-14
93000009,GPLc,2012-05-14
93000009,SP95,2013-09-06
93000009,SP98,2013-09-06
93000010,E85,2017-09-18
93000010,GPLc,2017-09-18
93000010,SP95,2017-09-18
93100001,SP95,2010-11-18
93100004,SP98,2016-07-20
93100005,E10,2010-10-18
93100005,E85,2010-10-18
93100005,GPLc,2010-10-18
93100005,Gazole,2010-10-18
93100005,SP95,2010-10-18
93100006,E10,2019-07-17
93100006,E85,2009-09-22
93100006,GPLc,2008-10-27
93100006,Gazole,2019-09-10
93100006,SP95,2019-09-10
93100006,SP98,2019-09-10
93100007,E10,2009-04-17
93100007,SP95,2009-04-17
93100009,E85,2010-03-10
93100009,GPLc,2010-03-10
93100009,SP95,2010-03-10
93100010,E85,2013-08-14
93100010,GPLc,2013-08-14
93100010,SP95,2010-02-26
93100011,E85,2019-12-25
93100011,GPLc,2019-12-25
93100011,SP95,2019-12-25
93100014,E10,2026-09-18
93100014,GPLc,2026-03-31
93100014,SP98,2026-09-17
93100015,GPLc,2022-10-21
93100015,SP95,2022-10-21
93100018,E10,2022-10-05
93100018,E85,2022-10-05
