id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
94550002,Chevilly-Larue,94550,14 AV DU GENERAL DE GAULLE,4.49,48.77313,2.3378,2.250,,,,0.919,,2026-09-20 00:01:00
92260001,Fontenay-aux-Roses,92260,21 Avenue Jeanne et Maurice Dolivet,4.58,48.793,2.29,2.435,,2.301,2.195,0.919,,2026-09-19 07:31:00
75012005,Paris,75012,173 Avenue Daumesnil,4.58,48.84074,2.39104,2.250,,1.990,1.990,,,2026-07-29 18:55:09
75015003,Paris,75015,151 Rue de la Convention,4.78,48.839,2.292,2.659,,2.599,2.439,1.199,,2026-09-17 12:20:43
94220003,Charenton-le-Pont,94220,114 Rue de Paris,4.83,48.825,2.408,2.549,,2.449,2.349,1.149,1.269,2026-09-19 05:49:00
75012023,Paris,75012,32 rue de Reuilly,4.86,48.84655,2.38742,2.559,,2.439,2.339,,,2026-09-19 07:00:00
75015034,PARIS,75015,11 BOULEVARD GARIBALDI,4.91,48.848,2.303,2.279,,2.269,,,,2026-07-17 17:31:10
75015030,PARIS,75015,1 QUATER BOULEVARD VICTOR,4.92,48.834,2.285,2.619,,2.529,2.349,,,2026-09-18 13:49:43
92130005,Issy-les-Moulineaux,92130,115 Avenue du Général de Gaulle,4.96,48.818,2.277,2.392,,2.309,2.204,0.920,,2026-09-18 07:31:00
94140004,ALFORTVILLE,94140,43 QUAI AUGUSTE BLANQUI,5.06,48.8043,2.41212,2.250,,1.990,1.990,,,2026-09-20 00:01:00
94400003,Vitry-sur-Seine,94400,159 Avenue Rouget de l'Isle,5.08,48.782,2.395,2.403,,2.309,2.191,,,2026-09-18 07:31:00
75007003,PARIS,75007,15 Avenue Duquesne,5.16,48.853,2.308,2.900,,2.880,,,,2026-09-15 21:46:47
75001003,PARIS,75001,"8,10,10bis Rue Bailleul",5.31,48.861,2.341,2.680,2.490,2.570,,,,2026-09-04 21:30:24
92140009,CLAMART,92140,5 Rue de Vanves,5.38,48.812,2.271,2.599,,2.519,2.339,,,2026-09-18 14:37:15
94550001,Chevilly-Larue,94550,264 Avenue de Stalingrad,5.43,48.767,2.368,2.450,,2.266,2.186,0.972,,2026-09-17 07:31:00
94594002,RUNGIS,94594,103 Boulevard Circulaire E Fruileg,5.45,48.765,2.357,2.250,,1.990,,,,2026-09-20 00:01:00
75012021,PARIS,75012,55 BLD DE PICPUS,5.51,48.846,2.401,2.250,,1.990,1.990,,,2026-09-20 00:01:00
75015011,Paris,75015,19 BD DES FRERES VOISINS,5.55,48.828,2.272,2.393,,2.321,2.211,,,2026-09-17 07:31:00
92130006,Issy-les-Moulineaux,92130,18-22 BLD DES FRERES VOISIN,5.59,48.82784,2.27134,2.250,,1.990,1.990,,,2026-09-20 00:01:00
75007004,Paris,75007,37 RUE FABERT,5.59,48.85862,2.31125,2.250,,1.990,1.990,,,2026-09-20 06:00:00
94400004,VITRY-SUR-SEINE,94400,2 Rue Eugène Hénaff,5.67,48.794,2.416,2.349,2.189,2.259,2.199,,1.069,2026-09-18 12:56:16
75015025,PARIS,75015,34 BOULEVARD DE GRENELLE,5.86,48.852,2.29,2.250,,1.990,,,,2026-09-20 00:01:00
94594003,RUNGIS CEDEX,94594,RUE DU VIADUC,5.88,48.76047,2.34866,2.569,,2.429,,,,2026-09-18 14:34:03
75015036,PARIS,75015,21 AVENUE EMILE ZOLA,5.98,48.84644,2.28013,2.499,,2.419,2.319,0.965,0.825,2026-09-14 23:30:00
94150005,RUNGIS,94150,AUTOROUTE A106 - AIRE DE RUNGIS DELTA PONDO,6.2,48.75758,2.34835,2.250,,1.990,1.990,0.899,,2026-09-20 00:01:00
75015026,Paris,75015,QUAI D'ISSY LES MOULINEAUX,6.23,48.835,2.266,,,1.990,1.990,0.909,,2026-09-20 00:01:00
92330002,SCEAUX,92330,77 Avenue Ãdouard Depreux,6.43,48.774,2.28,2.609,,2.529,2.349,,,2026-09-18 14:34:45
75016029,PARIS,75016,99 AVENUE DE VERSAILLES,6.43,48.845,2.271,,,,1.990,,,2026-09-18 10:22:27
94160001,SAINT-MANDé,94160,186 Avenue Gallieni,6.44,48.847,2.416,2.599,,2.499,2.399,,,2026-09-19 05:30:00
94600005,CHOISY-LE-ROI,94600,36 Avenue de Lugo,6.59,48.772,2.409,2.319,2.239,2.289,2.149,,,2026-09-19 10:15:11
94600003,Choisy-le-Roi,94600,14 Boulevard de Stalingrad,6.62,48.768,2.403,2.431,,2.258,2.178,,,2026-09-19 07:31:00
94600007,Choisy-le-Roi,94600,33 AV.DE LUGO,6.67,48.771,2.409,2.250,,,1.990,,,2026-09-20 00:01:00
94150008,RUNGIS,94150,ROUTE NATIONALE 186,6.72,48.754,2.362,2.559,,2.519,2.349,,1.089,2026-09-18 13:49:13
94000012,Créteil,94000,ROUTE DE CHOISY - RN186,6.81,48.753,2.361,2.489,,2.459,2.289,,,2026-09-16 11:36:25
94150009,RUNGIS,94150,ROUTE NATIONALE 186,6.81,48.753,2.361,2.549,,2.519,2.349,,1.099,2026-09-18 13:49:03
94700005,Maisons-Alfort,94700,5 Avenue Léon Blum,6.82,48.802,2.436,2.410,,2.270,2.190,,,2026-09-19 07:31:00
94651002,Thiais,94651,334 THAIS SUD C.C Belle Epine,6.86,48.755,2.375,2.549,,2.469,2.299,1.239,1.109,2026-09-18 13:52:38
94700008,Maisons-Alfort,94700,135 AV DU GENERAL LECLERC,6.91,48.80623,2.43809,2.250,,1.990,1.990,0.919,,2026-09-20 00:01:00
94700007,MAISONS-ALFORT,94700,99 AVENUE DU GL LECLERC,6.91,48.80695,2.43827,2.499,,2.399,2.349,0.919,,2026-09-19 05:54:00
75016022,PARIS,75016,26 AV PAUL DOUMER,6.95,48.861,2.283,2.729,,2.649,2.479,,,2026-09-18 14:35:08
75016011,Paris,75116,69 Avenue Kléber,7.03,48.865,2.289,,,,,,,
92140015,CLAMART,92140,6 AVENUE CLAUDE TREBIGNAUD,7.06,48.793,2.253,2.250,,1.990,1.990,0.929,,2026-09-20 00:01:00
