day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-04-27,E10,1.99,7414,1,7375,251,1,250
2025-04-27,Gazole,2.25,9464,0,9463,261,0,260
2025-04-27,SP98,1.99,7959,13,7799,256,2,237
2025-04-28,E10,1.99,7416,1,7377,251,1,250
2025-04-28,Gazole,2.25,9465,0,9464,261,0,260
2025-04-28,SP98,1.99,7960,13,7803,256,2,237
2025-04-29,E10,1.99,7419,1,7380,251,1,250
2025-04-29,Gazole,2.25,9466,0,9465,261,0,260
2025-04-29,SP98,1.99,7962,10,7814,256,2,238
2025-04-30,E10,1.99,7424,1,7385,251,1,250
2025-04-30,Gazole,2.25,9468,0,9467,261,0,260
2025-04-30,SP98,1.99,7964,10,7819,256,2,240
2025-05-01,E10,1.99,7423,1,7384,251,1,250
2025-05-01,Gazole,2.25,9468,0,9467,261,0,260
2025-05-01,SP98,1.99,7965,10,7820,256,2,242
2025-05-02,E10,1.99,7425,1,7386,251,1,250
2025-05-02,Gazole,2.25,9470,0,9469,261,0,260
2025-05-02,SP98,1.99,7966,10,7826,256,2,242
2025-05-03,E10,1.99,7425,1,7386,251,1,250
2025-05-03,Gazole,2.25,9470,0,9469,261,0,260
2025-05-03,SP98,1.99,7966,9,7832,256,2,244
2025-05-04,E10,1.99,7425,1,7386,251,1,250
2025-05-04,Gazole,2.25,9471,0,9470,261,0,260
2025-05-04,SP98,1.99,7966,9,7832,256,2,244
2025-05-05,E10,1.99,7425,1,7396,251,1,250
2025-05-05,Gazole,2.25,9473,0,9473,261,0,261
2025-05-05,SP98,1.99,7969,9,7835,257,2,244
2025-05-06,E10,1.99,7427,1,7398,251,1,250
2025-05-06,Gazole,2.25,9475,0,9475,261,0,261
2025-05-06,SP98,1.99,7970,7,7848,257,2,244
2025-05-07,E10,1.99,7429,1,7390,251,1,250
2025-05-07,Gazole,2.25,9478,0,9478,261,0,261
2025-05-07,SP98,1.99,7974,5,7857,257,2,245
2025-05-08,E10,1.99,7428,1,7391,250,1,249
2025-05-08,Gazole,2.25,9478,0,9478,261,0,261
2025-05-08,SP98,1.99,7975,5,7859,257,2,245
2025-05-09,E10,1.99,7429,1,7390,250,1,249
2025-05-09,Gazole,2.25,9481,0,9481,261,0,261
2025-05-09,SP98,1.99,7979,5,7863,257,2,245
2025-05-10,E10,1.99,7430,1,7391,250,1,249
2025-05-10,Gazole,2.25,9481,0,9481,261,0,261
2025-05-10,SP98,1.99,7980,6,7862,257,2,244
2025-05-11,E10,1.99,7427,1,7388,250,1,249
2025-05-11,Gazole,2.25,9479,0,9479,261,0,261
2025-05-11,SP98,1.99,7977,6,7859,257,2,244
2025-05-12,E10,1.99,7428,1,7389,250,1,249
2025-05-12,Gazole,2.25,9482,0,9482,261,0,261
2025-05-12,SP98,1.99,7978,5,7859,257,2,243
2025-05-13,E10,1.99,7431,1,7392,250,1,249
2025-05-13,Gazole,2.25,9485,0,9485,261,0,261
2025-05-13,SP98,1.99,7981,9,7849,257,2,240
2025-05-14,E10,1.99,7432,1,7393,250,1,249
2025-05-14,Gazole,2.25,9487,0,9487,262,0,262
2025-05-14,SP98,1.99,7983,18,7830,258,2,240
2025-05-15,E10,1.99,7432,1,7393,250,1,249
2025-05-15,Gazole,2.25,9490,0,9490,262,0,262
2025-05-15,SP98,1.99,7985,27,7806,258,2,239
2025-05-16,E10,1.99,7434,1,7391,250,1,249
2025-05-16,Gazole,2.25,9492,0,9492,262,0,262
2025-05-16,SP98,1.99,7986,27,7798,258,2,239
2025-05-17,E10,1.99,7435,1,7392,250,1,249
2025-05-17,Gazole,2.25,9493,0,9493,262,0,262
2025-05-17,SP98,1.99,7987,27,7801,258,2,239
2025-05-18,E10,1.99,7435,1,7392,250,1,249
2025-05-18,Gazole,2.25,9491,0,9491,262,0,262
2025-05-18,SP98,1.99,7986,27,7800,258,2,239
2025-05-19,E10,1.99,7436,1,7395,250,1,249
2025-05-19,Gazole,2.25,9493,0,9493,262,0,262
2025-05-19,SP98,1.99,7987,27,7800,258,2,239
2025-05-20,E10,1.99,7439,1,7400,250,1,249
2025-05-20,Gazole,2.25,9494,0,9494,262,0,262
2025-05-20,SP98,1.99,7988,21,7809,258,2,238
2025-05-21,E10,1.99,7441,1,7402,250,1,249
2025-05-21,Gazole,2.25,9495,0,9495,262,0,262
2025-05-21,SP98,1.99,7989,14,7820,258,2,238
2025-05-22,E10,1.99,7442,1,7403,250,1,249
2025-05-22,Gazole,2.25,9495,0,9495,262,0,262
2025-05-22,SP98,1.99,7989,14,7820,258,2,238
2025-05-23,E10,1.99,7443,2,7400,250,1,249
2025-05-23,Gazole,2.25,9496,0,9496,262,0,262
2025-05-23,SP98,1.99,7991,14,7823,258,2,238
