id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
92000019,NANTERRE,"77, AVENUE LENINE",14.02,TotalEnergies,recognised,node/581704882,brand=TotalEnergies | name=TotalEnergies,56,
91160010,Saulx-les-Chartreux,1 rue du pont neuf,14.03,Carrefour Market,recognised,node/5644368103,brand=Carrefour Market | name=Carrefour Market,8,
78000021,VERSAILLES,60 AV DE LA REPUBLIQUE,14.05,Esso,recognised,node/1430980483,brand=Esso | name=Esso,39,
93330006,Neuilly-sur-Marne,29-33 BLD DU MARECHAL FOCH,14.05,Total Access,recognised,node/1352863213,brand=Total Access | name=Total Access,1,
94470006,Boissy-Saint-Léger,55 Av du général Leclerc,14.14,Avia,recognised,node/748713162,brand=Avia | name=Avia,42,
92000015,Nanterre,93 Avenue Vladimir Illitch Lénine,14.14,BP,recognised,node/581704879,brand=BP | operator=BP | name=BP,41,
92700024,COLOMBES,44-50 BD DE VALMY,14.2,Esso,recognised,node/6186390830,brand=Esso | name=Esso,61,
93250009,VILLEMOMBLE,32 AV DE ROSNY,14.2,BP,recognised,node/25209725,operator=BP | name=Carrefour city,42,
93140002,Bondy,108 Avenue Gallieni,14.36,Esso Express,recognised,way/84163951,brand=Esso Express | name=Esso Express,6,
78000005,Versailles,50 Rue du Pont Colbert,14.51,Esso Express,recognised,way/1490244026,brand=Esso Express | operator=Esso Express | name=Esso Express,44,
91170007,Viry-Châtillon,158 RN 7,14.56,BP,recognised,node/7163959424,brand=BP | name=BP Viry,34,
93160005,Noisy-le-Grand,22 Route de Neuilly,14.57,Esso Express,recognised,way/121709120,brand=Esso Express,51,
